,Date,User,Tweet,Likes,Retweets,Replies
51,2022-04-18 13:22:37+00:00,alinnfm,"@bertinha84 @TheBridge_Tech ¡¡Que emoción!! 🤗
Todo lo bueno del mundo para ti en esta etapa 🏆",1,0,1
52,2022-04-18 08:26:32+00:00,TheBridge_Tech,@bertinha84 Ese nudo es presagio de algo bueno 😆¡Bienvenida a @TheBridge_Tech ! Muchas horas de #UXUI te esperan 🙌 ¡sin miedo!,1,0,0
53,2022-04-18 06:50:51+00:00,bertinha84,"@marcosDLCS @TheBridge_Tech Lo haré, gracias Marcos 🙂",0,0,0
54,2022-04-18 06:43:57+00:00,marcosDLCS,"@bertinha84 @TheBridge_Tech Mucha suerte en la nueva aventura.

¡No olvides compartir tu camino y tus experiencias! 

Seguro que son de utilidad para la comunidad.

💪",1,0,1
55,2022-04-18 06:03:12+00:00,bertinha84,Hoy empiezo en un ratito mi camino en el Ux/ui de la mano de @TheBridge_Tech en su bootcamp. Tengo un nudo enorme en el estómago y todas las ganas de aprender. A por todas voy!,6,1,5
56,2022-04-12 13:12:30+00:00,CodenotchMAD,"@manufosela @Adalab_Digital @4GeeksAcademyES @socratech_ @TheBridge_Tech @ITAcademy @nebulova_es Muy orgullosos de nuestros Top Notch Coders🚀
Mucho ánimo a esa 6ª #GeneracionK  de 
@kairos_ds con todo lo nuevo👏",0,0,0
57,2022-04-12 11:55:30+00:00,manufosela,"De los 21, hay 7 desarrolladoras de @Adalab_Digital, 4 de @4GeeksAcademyES, 2 de @CodenotchMAD, 1 de @socratech_ , 1 de @TheBridge_Tech, 1 de @ITAcademy, 1 de @nebulova_es y de FP-DAW y autodidactas.",12,3,3
58,2022-04-12 09:11:58+00:00,TheBridge_Tech,A la vuelta de #SemanaSantaSevilla toca👉 #bootcamps🧑‍💻Especialízate en #datascience o #desarrollowebfullstack con nuestros programas en colaboración con @ENCamaraSevilla ¡Estudia en pleno centro de Sevilla! Y en unos meses sal a comerte el sector tech🚀https://t.co/1MQSzZSqLv https://t.co/ggtxFWCV72,3,1,0
59,2022-04-11 11:05:33+00:00,TheBridge_Tech,"📅El 25 de abril estrenamos los #BurnMondays🔥, con la colaboración de @burn_es, una oportunidad para que nuestr@s alum@s puedan presentar sus proyectos, hacer un taller... En definitiva, mostrar su talento al🌎 ¡Save the date! ➡ Entradas https://t.co/yzVCLHZXVd  
#bootcamps https://t.co/yZuTjBCGIf",0,1,0
60,2022-04-07 11:18:21+00:00,TheBridge_Tech,@burn_es ¿Algún que otro? 😝 Toda energía extra es bienvenida y necesaria 🔋🔥 ¡Gracias @burn_es! Pronto haremos buen uso de ella... https://t.co/p0uELS5eIf,0,0,0
61,2022-04-07 10:00:06+00:00,burn_es,"Nos han contado que en @TheBridge_Tech se lo curran mucho... Hemos colado algún que otro BURN, ¿os viene bien una ayudita de energía? 🔋🔥",6,1,1
62,2022-04-07 07:35:47+00:00,TheBridge_Tech,En dos semanas empezamos los bootcamps Part Time (compatibles con trabajo/estudios) en #Sevilla y en @ENCamaraSevilla ya hay quién ha empezado a calentar!!💪 ¿Preparados para lo que viene? 👉https://t.co/1KbOQQK8iw https://t.co/qfXAXSFyZ4,0,0,0
63,2022-04-06 09:13:36+00:00,beajmnz,@TheBridge_Tech ¡A vuestra disposición! ¡Muchas gracias!,0,0,0
64,2022-04-06 07:55:05+00:00,TheBridge_Tech,"@AndreaMaganRey Hola Andrea ¡Qué gran trabajo! Estamos encantados de pasarte información para que puedas completar ese listado, te mandamos un DM 👏",0,0,0
